Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Nepal,22972,75,16353,6544,380,0.33,71.19,0.46,29136808,788.0,29645,5884,19.85
Netherlands,59360,6178,237,52945,643,10.41,0.4,2606.75,34882427,1702.0,66843,4141,6.2
New Zealand,1569,22,1526,21,0,1.4,97.26,1.44,4822233,325.0,1665,49,2.94
Nicaragua,3902,123,2913,866,0,3.15,74.65,4.22,6624554,589.0,4311,183,4.24
Niger,1158,69,1057,32,1,5.96,91.28,6.53,24206636,48.0,1169,4,0.34
Nigeria,46577,945,33186,12446,437,2.03,71.25,2.85,399640130,117.0,50964,2353,4.62
North Macedonia,11839,527,7664,3648,85,4.45,64.74,6.88,2083380,5683.0,13194,810,6.14
Norway,9638,256,8857,525,39,2.66,91.9,2.89,5421242,1778.0,10197,345,3.38
Oman,81580,513,74691,6376,223,0.63,91.56,0.69,5106622,15975.0,83769,1236,1.48
Pakistan,284121,6082,260248,17791,634,2.14,91.6,2.34,428724125,663.0,290958,3680,1.26
Panama,74492,1639,48748,24105,841,2.2,65.44,3.36,4314768,17264.0,83855,6127,7.31
Papua New Guinea,214,3,53,158,26,1.4,24.77,5.66,8947027,24.0,361,63,17.45
Paraguay,6907,75,5222,1610,202,1.09,75.6,1.44,7132530,968.0,11817,3473,29.39
Peru,478024,21072,324020,132932,14149,4.41,67.78,6.5,65597846,7287.0,558420,54958,9.84
Philippines,129913,2270,67673,59970,3028,1.75,52.09,3.35,109581085,1186.0,178022,27559,15.48
Poland,51791,1807,36691,13293,624,3.49,70.84,4.92,37846605,1368.0,59378,5311,8.94
Portugal,52668,1756,38511,12401,131,3.33,73.12,4.56,10196707,5165.0,54992,1681,3.06
Qatar,112947,184,109709,3054,297,0.16,97.13,0.17,2881060,39203.0,116224,1764,1.52
Romania,61768,2700,30119,28949,1145,4.37,48.76,8.96,19237682,3211.0,74963,8187,10.92
Russia,885718,14903,692059,178756,5155,1.68,78.14,2.15,292579178,3027.0,939833,33139,3.53
Rwanda,2140,7,1346,787,6,0.33,62.9,0.52,12952209,165.0,2717,955,35.15
Saint Kitts and Nevis,17,0,16,1,0,0.0,94.12,0.0,53109,320.0,17,0,0.0
Saint Lucia,25,0,24,1,0,0.0,96.0,0.0,183629,136.0,26,0,0.0
Saint Vincent and the Grenadines,57,0,52,5,1,0.0,91.23,0.0,110854,514.0,58,2,3.45
San Marino,699,42,657,0,0,6.01,93.99,6.39,33938,20596.0,704,6,0.85
Sao Tome and Principe,878,15,800,63,0,1.71,91.12,1.88,219159,4006.0,888,6,0.68
Saudi Arabia,288690,3167,252039,33484,1428,1.1,87.3,1.26,34813867,8292.0,303973,7882,2.59
Senegal,11175,232,7352,3591,172,2.08,65.79,3.16,16743930,667.0,12559,735,5.85
Serbia,28099,641,0,27458,236,2.28,0.0,inf,8737370,3216.0,30209,890,2.95
Seychelles,126,0,125,1,0,0.0,99.21,0.0,98340,1281.0,132,4,3.03
Sierra Leone,1916,68,1445,403,21,3.55,75.42,4.71,7976985,240.0,1969,44,2.23
Singapore,55104,27,48915,6162,175,0.05,88.77,0.06,5850343,9419.0,56099,473,0.84
Slovakia,2596,31,1864,701,30,1.19,71.8,1.66,5459643,475.0,3102,524,16.89
Slovenia,2249,127,1927,195,2,5.65,85.68,6.59,2078932,1082.0,2536,219,8.64
Somalia,3227,93,1728,1406,0,2.88,53.55,5.38,15893219,203.0,3265,10,0.31
South Africa,559859,10408,411474,137977,6671,1.86,73.5,2.53,59308690,9440.0,599940,18346,3.06
South Sudan,2470,47,1175,1248,7,1.9,47.57,4.0,11193729,221.0,2494,20,0.8
Spain,314362,28503,150376,135483,0,9.07,47.84,18.95,93691843,3355.0,377906,51601,13.65
Sri Lanka,2844,11,2579,254,3,0.39,90.68,0.43,21413250,133.0,2918,68,2.33
Sudan,11956,781,6266,4909,62,6.53,52.41,12.46,43849269,273.0,12582,463,3.68
Suriname,2391,29,1635,727,85,1.21,68.38,1.77,586634,4076.0,3366,427,12.69
Sweden,82323,5763,0,76560,0,7.0,0.0,inf,20426859,4030.0,85810,-1912,-2.23
Switzerland,36603,1986,32300,2317,152,5.43,88.24,6.15,8654618,4229.0,39026,1980,5.07
Syria,1188,52,346,790,63,4.38,29.12,15.03,17500657,68.0,2008,496,24.7
Taiwan*,477,7,441,29,0,1.47,92.45,1.59,23806638,20.0,486,1,0.21
Tajikistan,7745,62,6484,1199,39,0.8,83.72,0.96,9537642,812.0,8203,246,3.0
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3351,58,3151,142,3,1.73,94.03,1.84,69799978,48.0,3389,21,0.62
Timor-Leste,25,0,24,1,0,0.0,96.0,0.0,1318442,19.0,25,2,8.0
Togo,1060,23,729,308,14,2.17,68.77,3.16,8278737,128.0,1212,114,9.41
Trinidad and Tobago,279,8,135,136,4,2.87,48.39,5.93,1399491,199.0,767,662,86.31
Tunisia,1697,51,1263,383,19,3.01,74.43,4.04,11818618,144.0,2543,780,30.67
Turkey,240804,5844,223759,11201,1182,2.43,92.92,2.61,84339067,2855.0,254520,9478,3.72
US,5044864,162938,1656864,3225062,46935,3.23,32.84,9.83,330541757,15262.0,5573847,293938,5.27
Uganda,1283,7,1115,161,16,0.55,86.91,0.63,45741000,28.0,1750,929,53.09
Ukraine,82767,1925,45335,35507,1233,2.33,54.77,4.25,89634808,923.0,100810,13853,13.74
United Arab Emirates,62525,357,56568,5600,225,0.57,90.47,0.63,9890400,6322.0,65802,2709,4.12
United Kingdom,312574,41363,1451,269760,1113,13.23,0.46,2850.65,134856358,2318.0,324203,8306,2.56
Uruguay,1353,37,1125,191,18,2.73,83.15,3.29,3473727,389.0,1506,45,2.99
Uzbekistan,30609,194,22042,8373,957,0.63,72.01,0.88,33469199,915.0,37547,2900,7.72
Venezuela,25805,223,13356,12226,844,0.86,51.76,1.67,28435943,907.0,37567,5331,14.19
Vietnam,841,13,395,433,29,1.55,46.97,3.29,97338583,9.0,1007,29,2.88
West Bank and Gaza,14208,97,7945,6166,280,0.68,55.92,1.22,4543126,3127.0,17989,2688,14.94
Western Sahara,10,1,8,1,0,10.0,80.0,12.5,597330,17.0,10,0,0.0
Yemen,1804,515,913,376,7,28.55,50.61,56.41,29825968,60.0,1899,34,1.79
Zambia,8085,235,6698,1152,182,2.91,82.84,3.51,18383956,440.0,10372,1229,11.85
Zimbabwe,4649,104,1437,3108,74,2.24,30.91,7.24,14862927,313.0,5745,547,9.52
